track_id,total_quantity_sold
1636,1
1640,1
1644,1
1648,1
1652,1
1656,1
1660,1
1666,1
1672,1
1678,1
1684,1
1690,1
1696,1
1702,1
1708,1
1714,1
1723,1
1732,1
1741,1
1750,1
1759,1
1768,1
1777,1
1786,1
1795,1
1804,1
1813,1
1822,1
1840,1
1854,1
1855,1
1856,1
1858,1
1860,1
1862,1
1864,1
1866,1
1868,1
1872,1
1876,1
1880,1
1884,1
1888,1
1892,1
1898,1
1904,1
1910,1
1916,1
1922,1
1928,1
1934,1
1940,1
1946,1
1955,1
1964,1
1973,1
1982,1
1991,1
2000,1
2009,1
2018,1
2027,1
2036,1
2045,1
2054,1
2072,1
2086,1
2087,1
2088,1
2090,1
2092,1
2094,1
2096,1
2098,1
2100,1
2104,1
2108,1
2112,1
2116,1
2120,1
2124,1
2130,1
2136,1
2142,1
2148,1
2154,1
2160,1
2166,1
2172,1
2178,1
2187,1
2196,1
2205,1
2214,1
2223,1
2232,1
2241,1
2250,1
2259,1
2268,1
2277,1
2286,1
2304,1
2318,1
2319,1
2320,1
2322,1
2324,1
2326,1
2328,1
2330,1
2332,1
2336,1
2340,1
2344,1
2348,1
2352,1
2356,1
2362,1
2368,1
2374,1
2380,1
2386,1
2392,1
2398,1
2404,1
2410,1
2419,1
2428,1
2437,1
2446,1
2455,1
2464,1
2473,1
2482,1
2491,1
2500,1
2509,1
2518,1
2536,1
2550,1
2551,1
2552,1
2554,1
2556,1
2558,1
2560,1
2562,1
2564,1
2568,1
2572,1
2576,1
2580,1
2584,1
2588,1
2594,1
2600,1
2606,1
2612,1
2618,1
2624,1
2630,1
2636,1
2642,1
2651,1
2660,1
2669,1
2678,1
2687,1
2696,1
2705,1
2714,1
2723,1
2732,1
2741,1
2750,1
2759,1
2768,1
2782,1
2783,1
2784,1
2786,1
2788,1
2790,1
2792,1
2794,1
2796,1
2800,1
2804,1
2808,1
2812,1
2816,1
2820,1
2826,1
2832,1
2838,1
2844,1
2850,1
2856,1
2862,1
2868,1
2874,1
2883,1
2892,1
2901,1
2910,1
2919,1
2928,1
2937,1
2946,1
2955,1
2964,1
2973,1
2982,1
2991,1
3000,1
3014,1
3015,1
3016,1
3018,1
3020,1
3022,1
3024,1
3026,1
3028,1
3032,1
3036,1
3040,1
3044,1
3048,1
3052,1
3058,1
3064,1
3070,1
3076,1
3082,1
3088,1
3094,1
3100,1
3106,1
3115,1
3124,1
3133,1
3142,1
3151,1
3160,1
3169,1
3178,1
3187,1
3196,1
3205,1
3214,1
3223,1
3232,1
3246,1
3247,1
3248,1
3250,1
3252,1
3254,1
3256,1
3258,1
3260,1
3264,1
3268,1
3272,1
3276,1
3280,1
3284,1
3290,1
3296,1
3302,1
3308,1
3314,1
3320,1
3326,1
3332,1
3338,1
3347,1
3356,1
3365,1
3374,1
3383,1
3392,1
3401,1
3410,1
3419,1
3428,1
3437,1
3446,1
3455,1
3464,1
3478,1
3479,1
3480,1
3482,1
3484,1
3486,1
3488,1
3490,1
3492,1
3496,1
3500,1
1,1
5,1
9,1
13,1
19,1
25,1
31,1
37,1
43,1
49,1
55,1
61,1
67,1
76,1
85,1
94,1
103,1
112,1
121,1
130,1
139,1
148,1
157,1
166,1
175,1
184,1
193,1
208,1
209,1
211,1
213,1
215,1
217,1
219,1
221,1
225,1
229,1
233,1
237,1
241,1
245,1
251,1
257,1
263,1
269,1
275,1
281,1
287,1
293,1
299,1
308,1
317,1
326,1
335,1
344,1
353,1
362,1
371,1
380,1
389,1
398,1
407,1
416,1
425,1
440,1
441,1
443,1
445,1
447,1
449,1
451,1
453,1
457,1
461,1
465,1
469,1
473,1
477,1
483,1
489,1
495,1
501,1
507,1
513,1
519,1
525,1
531,1
540,1
549,1
558,1
567,1
576,1
585,1
594,1
603,1
612,1
621,1
630,1
639,1
648,1
657,1
672,1
673,1
675,1
677,1
679,1
681,1
683,1
685,1
689,1
693,1
697,1
701,1
705,1
709,1
715,1
721,1
727,1
733,1
739,1
745,1
751,1
757,1
763,1
772,1
781,1
790,1
799,1
808,1
817,1
826,1
835,1
844,1
853,1
862,1
871,1
880,1
889,1
904,1
905,1
907,1
909,1
911,1
913,1
915,1
917,1
921,1
925,1
929,1
933,1
937,1
941,1
947,1
953,1
959,1
965,1
971,1
977,1
983,1
989,1
995,1
1004,1
1013,1
1022,1
1031,1
1040,1
1049,1
1058,1
1067,1
1076,1
1085,1
1094,1
1103,1
1112,1
1121,1
1136,1
1137,1
1139,1
1141,1
1143,1
1145,1
1147,1
1149,1
1153,1
1157,1
1161,1
1165,1
1169,1
1173,1
1179,1
1185,1
1191,1
1197,1
1203,1
1209,1
1215,1
1221,1
1227,1
1236,1
1245,1
1254,1
1263,1
1272,1
1281,1
1290,1
1299,1
1308,1
1317,1
1326,1
1335,1
1344,1
1353,1
1368,1
1369,1
1371,1
1373,1
1375,1
1377,1
1379,1
1381,1
1385,1
1389,1
1393,1
1397,1
1401,1
1405,1
1411,1
1417,1
1423,1
1429,1
1435,1
1441,1
1447,1
1453,1
1459,1
1468,1
1477,1
1486,1
1495,1
1504,1
1513,1
1522,1
1531,1
1540,1
1549,1
1558,1
1567,1
1576,1
1585,1
1600,1
1601,1
1603,1
1605,1
1607,1
1609,1
1611,1
1613,1
1617,1
1621,1
1625,1
1629,1
1633,1
1637,1
1643,1
1649,1
1655,1
1661,1
1667,1
1673,1
1679,1
1685,1
1691,1
1700,1
1709,1
1718,1
1727,1
1736,1
1745,1
1754,1
1763,1
1772,1
1781,1
1790,1
1799,1
1808,1
1817,1
1832,1
1833,1
1835,1
1837,1
1839,1
1841,1
1843,1
1845,1
1849,1
1853,1
1857,1
1861,1
1865,1
1869,1
1875,1
1881,1
1887,1
1893,1
1899,1
1905,1
1911,1
1917,1
1923,1
1932,1
1941,1
1950,1
1959,1
1968,1
1977,1
1986,1
1995,1
2004,1
2013,1
2022,1
2031,1
2040,1
2049,1
2064,1
2065,1
2067,1
2069,1
2071,1
2073,1
2075,1
2077,1
2081,1
2085,1
2089,1
2093,1
2097,1
2101,1
2107,1
2113,1
2119,1
2125,1
2131,1
2137,1
2143,1
2149,1
2155,1
2164,1
2173,1
2182,1
2191,1
2200,1
2209,1
2218,1
2227,1
2236,1
2245,1
2254,1
2263,1
2272,1
2281,1
2296,1
2297,1
2299,1
2301,1
2303,1
2305,1
2307,1
2309,1
2313,1
2317,1
2321,1
2325,1
2329,1
2333,1
2339,1
2345,1
2351,1
2357,1
2363,1
2369,1
2375,1
2381,1
2387,1
2396,1
2405,1
2414,1
2423,1
2432,1
2441,1
2450,1
2459,1
2468,1
2477,1
2486,1
2495,1
2504,1
2513,1
2528,1
2529,1
2531,1
2533,1
2535,1
2537,1
2539,1
2541,1
2545,1
2549,1
2553,1
2557,1
2561,1
2565,1
